country,province,description,points,production_cost,price,taster_name,winery
US,California,"Lean and graceful, this appealing wine from a Rhône grape variety blends fresh, appley aromas and crisp, dry jicama and pippin apple flavors with a firm and refreshing mouthfeel. It's light-bodied and well-balanced.",88,6.15,24,Jim Gordon,Acquiesce
Italy,Sicily & Sardinia,"Bright and juicy, this opens with heady aromas of fragrant white flower, citrus and ripe orchard fruit. Mirroring the nose, the fresh palate doles out mature apple, Bartlett pear and nectarine zest alongside a note of Mediterranean scrub.",88,4.99,17,Kerin O’Keefe,Donnafugata
US,Oregon,"Roughly two-thirds Cabernet Franc and the rest Gamay, this is a peppery, tartly acidic red wine. Its sharp-edged berry fruit is braced with lemony scents and acids. Tannins are drying and a bit edgy.",88,6.49,25,Paul Gregutt,Leah Jørgensen Cellars
US,California,"This fine wine is made in larger quantities than many of the producer's other offerings, affording a chance to be introduced to a lovely white characteristic of the vintage and region in its friendly waves of pineapple, lemon and Gravenstein apple. Chalky on the palate at first, it provides a medium body and length with a back note of herb and anise.",88,2.72,25,Virginie Boone,MacRostie
Italy,Tuscany,"This easygoing wine offers aromas of red and dark-skinned berry and a whiff of moist soil. The soft, round palate doles out juicy black cherry, blackberry and notes of baking spice alongside fresh acidity and silky, smooth tannins. It's made to be drunk young so enjoy soon.",88,4.41,20,Kerin O’Keefe,Poggio Scalette
US,California,"Clear, light and varietal, this wine ping-pongs between subtle cinnamon and Asian spice around dark cherry and earth, with a big, juicy hit of oak and intense tannin. It finishes full-figured and robustly concentrated.",88,7.13,38,Virginie Boone,Matrix
Israel,Judean Hills,"A light brick color in the glass, this is an accessible selection that offers easy aromas and flavors of red cherry, forest berry and a hint of rhubarb. Silky tannins dance on the palate, and a mocha flavor lingers softly on the finish.",85,7.04,28,Lauren Buzzeo,Tzuba
US,California,"A simple Viognier. Shows the exotic richness of the variety, with tropical fruits, white flowers and peaches, as well as plenty of sweet oak. The finish is quick.",85,4.34,16,,Mounts
Argentina,Mendoza Province,"This is mild and lightly oaked on the front end, with peach and apple notes. It feels narrow and focused, with honeyed apple, pear and melon flavors that aren't too sweet or candied. Light and simple feeling on the finish, with elegance.",87,6.27,23,Michael Schachner,Zuccardi
France,Alsace,"Concentrated citrus fruit sings on nose and palate. The body reveals a stony, mineral texture of exquisitely clean dryness. There is the slightest edge of pleasant bitterness, just like in dried lemon peel. Linear, concentrated with lots of citric backbone. Drink 2016–2025.",92,4,30,Anne Krebiehl MW,Joseph Cattin
US,California,"Reserved fruit aromas like cherry compote come with substantial accents of cinnamon and clove. Flavors are mild but delicious and bring more cherry and cranberry. The mouthfeel is rather soft and full, braced with fine tannins and a moderate oaky flavor that builds toward the finish.",92,10.13,65,Jim Gordon,FEL
Italy,Piedmont,"Alluring aromas of jasmine and wild flower lead the nose. The fresh palate offers mature apple, white peach and a citrusy note alongside bright acidity. A touch of white almond note fills in the finish.",89,4.6,23,Kerin O’Keefe,Vite Colte
Austria,Burgenland,"The nose promises creamy freshness with the telltale passion fruit notes of Sauvignon Blanc wrapped in a rounded, sunny palate which restrains aromas but delivers lime-zest refreshment and a very clean, satisfying finish.",89,3.57,13,Anne Krebiehl MW,Zantho
France,Provence,"Rich, lightly colored and full of acidity, this wine is rich in texture and flavor for a Provence rosé. Plenty of ripe strawberry and citrus flavors are lifted by spice and generous acidity. The wine is ready to drink, although it will be better from late 2016.",89,6,30,Roger Voss,Domaine de la Bégude
France,Rhône Valley,"This is an impressive, well-endowed wine, bursting with superripe cherries, cinnamon and vanilla notes. It's full-bodied, velvety textured and warm, picking up dark chocolate notes on the long, dry finish. It's drinkable now, but worth holding through 2018 for a more savory experience.",92,9.6,38,Joe Czerwinski,Dauvergne & Ranvier
US,California,"This lovely vineyard-designate opens in cherry-berry cobbler, becoming luxurious and weighty on the palate while remaining juicy and expansive, too. Dusty tannins provide a structure and backbone before Tahitian vanilla marks the long finish. This wine is entirely enjoyable now but should thrive in the cellar through 2025.",92,6.83,42,Virginie Boone,Kokomo
US,Washington,"This wine is 45% Cabernet Franc, 22% Cabernet Sauvignon, 22% Merlot and 11% Malbec. It charms with alluring aromas of herbs, black licorice, cassis and coffee. The palate has a creamy, rich feel with abundant black fruit flavors and exceptional tannin integration.",92,13.14,85,Sean P. Sullivan,Owen Roe
US,Washington,"The oak (70% new puncheons) is primary at present on this blend of Cabernet Sauvignon, Cabernet Franc, Merlot and Petit Verdot. Aromas of vanilla, café au lait and woodspice are out in front of cherry and herbs. The palate shows nuance, detail and length. It needs time in the cellar to come together. Best after 2020.",92,17.33,95,Sean P. Sullivan,Rasa
US,Washington,"Two-thirds Cabernet Sauvignon with the balance Petit Verdot, Merlot, Malbec and Carménère, this brooding wine brings aromas of moist soil, herb, black tea, eucalyptus, fig and spice. It's full in feel, tart and tightly wound with bright acids and chewy tannins—a wine intended for the long haul. Enjoy after 2020.",92,15,75,Sean P. Sullivan,Seven Hills
US,Washington,"Coming from a site across from Cold Creek, this wine offers notes of toast, sautéed herbs, blackberry and spice. It's rich, power packed and layered with dark fruit flavors and firm tannins—an excellent mixture of power and elegance.",92,3.94,35,Sean P. Sullivan,Columbia Crest
Chile,Leyda Valley,"Gritty, gaseous aromas are demanding. This SB offers up a citric, pulpy body and slightly bitter flavors of passion fruit, orange and tangerine. Citrus pith and related bitterness blend with citric acidity on the finish, but this wine is starting to fade.",87,4,20,Michael Schachner,Undurraga
US,California,"This 100% Cabernet Sauvignon is brooding in dried sage, cedar and pencil shavings, the fruit black and ripe. Oaky and sanguine, it has a girth to it. Sprinkles of cinnamon and clove peak on the finish.",87,7.2,36,Virginie Boone,Buehler
US,California,"Minty with ripe, black plum and cherry notes, this rich, opulent wine is still puckering in tannins, but shows measured acidity on the back palate and finish. Toasty oak makes its presence felt, providing flavor and fullness.",87,4.4,22,Virginie Boone,Ca' Momi
Portugal,Tejo,"This rich, delicious blend of Castelão and Alicante Bouschet is soft and juicy, with black and blue berry flavors, dusty tannins and a fine, jammy aftertaste.",87,2.2,11,Roger Voss,Wines & Winemakers
France,Bordeaux,"Ripe and fruity, touched by mint with some good balancing tannins and acidity. A fine, firm and also juicy wine, with a warm texture.",87,1.7,13,Roger Voss,Yvon Mau
US,California,"This is a flavorful, smooth-textured wine drenched with grapy, jammy flavors. Ripe and concentrated, it has a lively mouthfeel due to welcome tannins and acidity. It offers a lot to like.",88,5.24,30,Jim Gordon,Yorkville Cellars
France,Bordeaux,The wine is both dense and fruity. It has fine tannins that are dark and concentrated. The berry flavors are balanced with acidity and touches of wood-aging spice. Give it until 2018 and consider opening for an hour before tasting.,88,3.39,19,Roger Voss,Château Berthenon
France,Bordeaux,"This is a dry wine, packed with tannins at this stage. With concentrated fruits and spice in the background, it will become a rich structured wine. This Merlot/Cabernet Sauvignon wine was vinified for 12 months in French oak and six months in underground cement vats—aiming for drinkability for at least 10 years. But go ahead and drink the wine starting from 2019.",88,5.8,29,Roger Voss,Château Berthenon
France,Champagne,"Aged for seven years before disgorging, this deliciously mature wine is full of Pinot Noir richness. It has a warm character that seems to be the style of this producer in the Côte de Sézanne. Named after the king who created the French monarchy, the wine has toast, almonds and a generous, creamy aftertaste. Drink now.",93,13.4,67,Roger Voss,Le Brun de Neuville
US,California,"Set within the smaller Green Valley AVA, Hallberg is 100 acres of varying aspects and weather, much of the site impacted by ocean winds and fog. The wine reflects this in its bright, citrusy acidity and earth, measured by elegant layers of orange, cranberry and strawberry. Cedar and black tea give it an exotic edge.",93,18.15,60,Virginie Boone,Gary Farrell
Italy,Piedmont,"The aromatic profile changes continuously in the glass, but includes underbrush, iron, dark spice, rose, tilled earth and a balsamic note. On the firm, radiant palate, an intense mineral vein wraps around dried dark-skinned cherry, cranberry, licorice and chopped herb. A backbone of vibrant acidity and assertive but refined tannins provide structure and impeccable balance. Give this time to soften and develop even more complexity. Drink 2018–2031.",93,11,55,Kerin O’Keefe,Antichi Vigneti di Cantalupo
Spain,Andalucia,"This is friendly on the nose with a melon scent. It feels fresh and not too challenging on palate, with nectarine, peach and mango flavors. The finish isn't too firm, but it doesn't fall apart. A simple, sweet casual quaffer.",88,3.8,19,Michael Schachner,Jorge Ordóñez & Co.
France,Burgundy,"Broad and generous, this has ample white fruits and attractive, balancing acids. It already has richness and a pure fruit character, with a firm, pear-skin-like structure and acidity on the finish. Age the for 3–4 years.",88,0,,Roger Voss,Pascal Bouchard
US,New York,"Toasted oak adds spice and vanilla notes to the red cherry, pomegranate and leather flavors. This is forward, structured and rich in body, balanced by brisk acidity and a ruffle of fine-grained tannins. It finishes long on a minty sour-cherry note.",88,5.23,19,Anna Lee C. Iijima,Red Newt Cellars
US,Oregon,"This vineyard was planted specifically for the No Girls project. The wine is fresh, fragrant and intensely floral, with a mix of rosewater and orange zest. Elegant, with a delicate, lacy texture, the flavors are savory and salty, braced with stiff, lightly peppery tannins. Notes of funk and mushroom come into play as it finishes gracefully and with unexpected length.",95,13,65,Paul Gregutt,No Girls
Italy,Northeastern Italy,"Girlan is a quality-minded producer from the extreme north of Italy with a beautifully crafted and intense expression of Chardonnay. You'll get aromas of peach blossom, freshly churned butter and almond nut over a smooth and supple mouthfeel.",88,9.99,33,,Girlan
US,California,"Dark, tannic and dense, this is a classic Petite Sirah. In its youth it's strongly flavored in black currants and chocolate, and will be fine with richly sauced barbecue. But it will age for many, many years, gradually softening.",88,5.71,26,,Hatcher
Italy,Northeastern Italy,"Livio Felluga adds a creamy, sophisticated edge to its Pinot Grigio that elevates the wine in terms of food pairing opportunities. Instead of appetizers and easy finger foods, this wine can stand up to fish, white meat and pasta. It has fragrant notes of creamy peach, citrus, white stone and pineapple followed by a shapely, dense structure.",88,4.49,23,,Livio Felluga
Italy,Veneto,"Amarone usually delivers soft, smooth tannins but Capitel Monte Olmi, on the other hand, exhibits tight, astringent firmness followed by sweet, jammy fruit. Give this wine another five years to soften in the bottle.",88,26.9,90,,Tedeschi
Italy,Piedmont,"Aromas of exotic spice, plum, violet and a whiff of chopped herb lead the nose. The firm palate delivers tart red cherry, espresso, anise, vanilla and coconut alongside brisk acidity and grainy tannins.",88,5.37,24,Kerin O’Keefe,Broccardo
Spain,Northern Spain,"Earthy rooty aromas of aged dry berry fruits and tobacco are scratchy while hinting at complexity. In the mouth, this Gran Reserva is drawing and tight. Herbal raspberry and dried cherry flavors finish with raw tannins and oaky vanilla flavors. Drink now through 2020.",88,7,35,Michael Schachner,Montecillo
Portugal,Douro,"An ancient variety now seen rarely, this Códega do Larinho has produced a wine that has a steely texture and tangy citrus flavors. It is bright with acidity, lime and grapefruit fruits and so crisp. It is ready to drink.",88,3.6,18,Roger Voss,Wines & Winemakers
Moldova,Moldova,"This zesty Moldovan Feteasca Regala has aromas of pineapple, lemon zest and pear. In the mouth there are flavors of lemon juice, lime pith and a hint of cantaloupe.",87,2.2,11,Jeff Jenssen,Château Vartely
Italy,Southern Italy,"Delicately scented with whiffs of white spring flower, citrus and orchard fruit, this straightforward wine offers flavors suggesting pear, juicy pineapple and bitter almond. Tangy acidity brightens the finish and gives it a clean close.",87,0,,Kerin O’Keefe,Mastroberardino
US,California,"This is a dry, soft and firmly tannic wine, elusive in fruit but quite forward in dusty leather, chocolate and black pepper. Full bodied, it holds on to a density of concentration throughout.",87,7.52,40,Virginie Boone,Michel-Schlumberger
US,California,"Made from mostly Merlot grapes that went direct-to-press to preserve color and tannin, this is a dark, pink and nutty wine, full-bodied and somewhat intense. While dry, the fruit leans toward the tangy end of the spectrum. It's food friendly and thirst quenching.",87,2.93,27,Virginie Boone,Medlock Ames
Italy,Veneto,"Crisp, fresh and firm, this opens with steely effervescence and etched notes of flint, white pepper and delicate spring flower. The finish is dry and bright.",87,4.69,19,,Cantine Maschio
New Zealand,Marlborough,"A solid effort for the price, marrying hints of pencil-like oak with bright pineapple and lemon drop flavors. There's ample weight and texture without going over the top, and a moderately long finish. Drink up.",87,1.46,15,Joe Czerwinski,Fernz
Chile,Colchagua Valley,"This wine's bouquet is peppery, meaty, spicy and altogether honest. The palate feels frisky and juicy, not heavy or flat, then tastes of char, black coffee, cola and spiced, herb-tinged berry. The finish is long, toasty and snappy.",88,1.52,16,Michael Schachner,Undurraga
Chile,Colchagua Valley,"Earthy, foresty aromas of plum and dark berry fruits show a touch of wet animal fur. This is sturdy and fairly full in build, with leafy flavors of plum, pepper, chocolate and toast. Mild green notes of mint and herbs accent a spicy finish,",89,2.87,20,Michael Schachner,Primus
France,Languedoc-Roussillon,"The medium-intense nose opens with scents of ripe stone fruit, caramel apple and candied walnut. Medium in weight, there's good lift to the rich, spicy fruit core, with lasting notes of baking spice and peppery warmth on the close.",89,3.6,18,Lauren Buzzeo,Diví Elegància
France,Beaujolais,"This fine producer, based in Morgon, has made a rich and structured wine. With its perfumed red-berry fruits and balanced acidity, it is a savory wine that is ripe and ready to drink.",89,0,,Roger Voss,Domaines Dominique Piron
France,Alsace,"A light touch is conveyed by aromas of honeysuckle, while the off-dry palate is balanced by fresh, citric verve. This wine has a dancing, easygoing nature marked by freshness and lightness in equal measure. Asian food flavors suggest themselves for this super-balanced, playful white.",89,3,15,Anne Krebiehl MW,Hugel
US,Oregon,"Always a top wine in this winery's broad portfolio of estate Pinot Noirs, this is spicy and lightly peppery, with a mix of bitter herb, cranberry and blackberry flavors and bright, supporting acidity. Its pleasing mineral backdrop provides an easy landing for the extended finish. Drink 2022 to 2030 for maximum enjoyment.",91,16,80,Paul Gregutt,Sokol Blosser
Spain,Galicia,"This is a particular style of Albariño. Aromas of white flowers distant mineral and green melon set up a plump, layered palate, with core acidity but also flatness that will only increase the longer it goes. Flavors of nectarine, orange and melon register as citric but also creamy. This is a unique Galician white that's stylish but won't last forever; drink immediately.",90,5.4,27,Michael Schachner,Adegas Gran Vinum
Spain,Northern Spain,"Loamy, ripe, earthy aromas of black cherry suggest raisin and stewed berry. The palate is full and mostly balanced for a warm-vintage, very ripe wine such as this. Flavors of berry, roasted plum and earth finish with raisiny richness and just enough zesty acidity to keep things upright and afloat. Drink through 2018.",90,9.55,42,Michael Schachner,Arrocal
Italy,Central Italy,"Calcaia is an elegant dessert wine from Umbria that has seen botrytis. Delicate aromas of candied fruit, honey and apricot make for an impressive bouquet.",93,7.64,42,,Barberani
US,Washington,"Pungent and spicy, dark and brooding, this wine brings it with deep, sappy berry fruit and overtones of meat and garrigue, all with muscle and verve. Tannins are firm and hard, showing some ripe stem and earth flavors, and plenty of barrel toast. Muscular and warm, this Syrah walks the line perfectly between the Rhône and Barossa.",93,10.9,55,Paul Gregutt,Sequel
New Zealand,Marlborough,"This wine harmoniously blends hints of cut grass and struck flint with pink grapefruit. It's medium in body, not at all overdone, delivering the long citrus and berry finish with the precision of cut crystal.",92,3.58,20,Joe Czerwinski,Huia
US,California,"A salty lick of saline brings the palate to attention before tingling acidity seals the experience: the wine's backbone a nicely balanced combination of generous oak that supports ripe fruit. Francois Freres and Taransaud barrels cradled the wine for 10 months, only 35% of it new, making for a robust yet elegant expression of the variety from this site.",92,12.4,62,Virginie Boone,Saintsbury
Italy,Veneto,"This Riserva Amarone shows drying aromas of polished mineral, ash, smoke, dried fruit and black licorice. There's a touch of sweetness on the close followed by brown sugar and teriyaki sauce. Drink now.",90,21.66,70,,Tezza
France,Champagne,A ripe and rounded wine with a touch of oygenation to give extra complexity and ripe fruit. Flavors are of pineapple and peach as well as a good citric content. Elegant and fresh as well as rich.,90,7.63,56,Roger Voss,De Sousa & Fils
US,California,"A new bottling from Kunde, and one of their most successful reds ever. A Cabernet-Merlot blend, it shows earthy, tobacco-edged flavors of cherries, raspberries, blackberries, carob, vanilla and cedar. It turns away from the current overripe style in favor of Bordeaux-style balance and elegance. Best now through 2008.",92,8,40,,Kunde
Italy,Sicily & Sardinia,"Thick and fragrant, this amber colored dessert wine from the Nasco grape has the Sardinian sunshine locked within: Honey, dried apricot, almond, crème brûlée and caramel aromas are the protagonists here. The mouthfeel is thick and velvety and the long, sweet finish has cooling herbal tones on the close.",92,11.79,42,,Cantina Santadi
US,Washington,"Coming from a vineyard best known for its Cabernet Franc, this wine offers aromas of fresh herbs, coffee, cherry and bittersweet chocolate. Cherry and chocolate flavors play well off of each other, with the finish lingering. The barrel influence plays a prominent role.",90,10.12,40,Sean P. Sullivan,Januik
US,Washington,"Barrel fermented in new and used French oak and aged sur lie for seven months, this appealing wine brings aromas of pear, spice, fig and papaya. The Sémillon blended in (16%) adds to the palate's richness and weight, with the pleasingly long finish contributing to the enjoyment.",90,3.07,20,Sean P. Sullivan,Novelty Hill
New Zealand,Marlborough,"This is clearly labeled as ""Certified Sustainable,"" although, to be fair, a lot of other New Zealand wines are also sustainably produced. Once past the labeling, 's a light- to medium-bodied wine, with slightly vegetal notes of nettles and garden peas that add nuance to refreshing citrus flavors.",89,4.13,17,Joe Czerwinski,Barker's Marque
Spain,Central Spain,"A sappy, heavy Spanish red with candied aromas that fall off to raisin and grass. The palate is sticky and comes in short on acidity, while the flavors are a mix of cough drop and prune. Sweet, clunky and raisiny.",82,2.4,12,Michael Schachner,Bodegas Orusco
US,Oregon,"Rough, earthy and tannic, with simple, high-toned, black cherry fruit, and substantial tannins that seem to have been somehow smoothed over, leaving the wine a bit dull.",82,10.11,73,Paul Gregutt,Sno Road
France,Bordeaux,"Fresh and fruity, this is already very drinkable. Tannins could soften further, but the bright red fruits and acidity are juicy enough already. The mineral texture and fragrant aftertaste form a balanced combination. This cuvée is selected from plots on the Beynat property.",87,7.45,26,Roger Voss,Château Beynat
Israel,Judean Hills,"Raspberry and green bell pepper aromas set the scene for blackberry, cassis, geranium leaf and smoke flavors in this wine. It's full bodied, with velvety tannins and a savory finish.",88,9,45,Mike DeSimone,Katlav
Portugal,Douro,"This ripe wine, full of black fruits, is juicy, rich and ready to drink. Packed with fruit and acidity, it is balanced and smooth. It takes its name from the small town of Murça to the north of the main Douro region.",88,4.07,20,Roger Voss,Real Companhia Velha
US,California,"This light-bodied Chardonnay makes a nice break from rich, heavy, oaky versions. Aromas of dried thyme and parsley lead to pleasing fruit flavors of pear and peach. It has enough texture to fill the mouth and enough crispness to stay clean on the finish.",88,2.29,10,Jim Gordon,McManis
US,California,"Deeply purple aromas of acai fruit and grape Jolly Rancher candies get a bit more serious with the scent of smoked cigars. The grape-juice element carries to the easy-to-drink, not overly complex palate, which will work well with food or just by itself.",88,8.33,54,Matt Kettmann,Pomar Junction
US,California,"Except for some excessive sharpness in the finish, this is a lush, opulent young Cab. It shows ripe cassis, chocolate and oak flavors wrapped into firm, sweet tannins. That sharpness may limit ageability.",86,15.01,50,,Maple Lane
US,California,"A little one-dimensional, this soft Pinot has forward flavors of cherries, raspberries, cola, vanilla, mint and smoke. It's an easy wine to like, with a silky texture and clean, spicy finish.",86,2.4,18,,Kenwood
Argentina,Mendoza Province,"Like many wines from this vintage, Melipal seems afflicted with 2005 blues. It has black plum and some woody char to chew on, but also saline and frisky tartness. Gets better with airing and will show best with food, but it's clearly a step down from prior years.",86,4.04,28,Michael Schachner,Melipal
US,California,"Posh fruit aromas, gentle and ripe flavors and a very polished texture make this wine more fun to drink now than its big sister, the Ferrington single-vineyard Pinot. Delicious red cherry, cinnamon and cedar threads weave a complex and layered flavor, with a good underpinning of fine-grained tannins.",92,5.32,35,Jim Gordon,Davies
US,California,"There's good raspberry and cherry fruit in this Pinot, with a sweet, smoky jacket of oak barrels. But it's ultimately simple, and the acidity is tart. Drink now.",84,2.61,18,,Bread & Butter
France,France Other,"The mountains south of Beaujolais produce a light style of Gamay. This wine is soft, juicy, easy and fruity with red-cherry flavor marked by fresh acidity. Drink now.",84,2.52,15,Roger Voss,Signé Vigneron
US,California,"While this wine is crisp and clean, and the price is right, it's a little thin in flavor. Suggests peaches, pears and citrus fruits that finish with a touch of honey. It's okay for everyday food, especially Asian.",84,1.98,13,,Kendall-Jackson
US,Washington,"Lush, polished and detailed, this is as elegant as any Washington Syrah can be. Intensely fruity with lively raspberries and plums, it layers in details of earth, mushroom, pepper and herb, leading to a perfectly balanced, structured finish.",93,8,40,Paul Gregutt,Doyenne
US,Washington,"At first blush this reserve seems more oaky, more open and more overtly alcoholic than the just-released Leonetti 2008 Merlot and 2007 Cabernet Sauvignon. After many hours of breathing time it fills in with pretty plummy fruit, toast, caramel, whiffs of smoke, cedar and cigar box, and dry tannins.",93,35.63,135,Paul Gregutt,Leonetti Cellar
US,California,"This is a little aggressive in texture, with simple, sweet flavors of blackberry and cherry jam touched with oak. It doesn't show much Stags Leap character, but it is a tasty Cab for drinking now.",85,9,45,,Courtney Benham
US,California,"There's lots to like in this affordable Zin. It's robust and juicy with ripe blackberry, cherry, cocoa, black pepper and sandalwood flavors that finish slightly sweet. Nice with pizza, burgers or beef tacos.",85,2.2,11,,Grayson
Italy,Tuscany,"Made from the Aleatico grape, this opens with intense floral aromas reminiscent of air freshener. The palate offers strawberry, berry and grapefruit flavors that finish slightly off-dry. It's one dimensional, but would would make a fun apéritif.",85,7.67,25,Kerin O’Keefe,Gualdo del Re
Argentina,Mendoza Province,"Stalky, burnt aromas are gritty and not fully clean or appealing. A grabby, raw, tannic palate is rough and grating, while this tastes much like the nose suggests: stalky and tomatoey. Heavy tannins and a mild but steady burn add to the toughness of this Cabernet.",84,2.81,17,Michael Schachner,Tomero
US,Oregon,"This is a rough, rustic, country red, with little varietal character and none of the elegance of Pinot Noir. Tart, light strawberry fruit is smothered in chewy, earthy tannins.",84,6.2,26,Paul Gregutt,Hanson Vineyards
US,Oregon,"The Jerome reserve is exactly what you want and expect in a reserve. Not just bigger, not just more of everything—it has that—but without sacrificing terroir or balance. Supple, veined with red fruits, purple fruits, smoke, earth and barrel toast, the wine moves sinuously across the palate into a full-bore finish. Lots of life ahead.",92,4.68,50,Paul Gregutt,Lemelson
US,California,"A charming Chardonnay, not the biggest, baddest around, but crisp and linear and elegant. Shows saline, umami-infused lime, Meyer lemon and crème brûlée flavors, with zesty acidity. Finishes balanced and complex.",92,3.1,30,,Qupé
Spain,Catalonia,"A potent brew of raisin, blackberry, minerality and leather comes together to form a bold, very ripe bouquet. The palate is chunky and forward, with beefy tannins and full-force flavors of blackberry, black peppercorn and toast. A huge and massive wine with a sweet, toasty, ripe and candied finish. Drink now through 2014.",92,16.38,54,Michael Schachner,Celler Pasanau
Spain,Northern Spain,"Poised and focused Mencía with lush, bold aromas that are powerful and alluring. The palate is healthy and stout, with tannic grip that props up black fruit, toast and charcoal flavors. Black pepper, spice and licorice are the finishing notes.",92,12.21,52,Michael Schachner,Pittacum
US,California,"This is a rich, fruity Chardonnay that's sweet in pineapple, orange and buttered toast flavors. A nice cut of acidity provides needed balance.",84,2.03,15,,Clos La Chance
Argentina,Mendoza Province,"Light berry aromas mix with brine, cumin and sweet spice on the nose. In the mouth, it's rather lean and juicy, with sharp acidity creating fresh red berry flavors and tang. Turns more piercing and citrusy the longer it airs out.",84,2,13,Michael Schachner,Espuela del Gaucho
Chile,Maipo Valley,"Spicy, dry plum and berry aromas are lightly floral and complex on the nose. This Cab is elegant and sturdy on the palate, with plum, raspberry and chocolate flavors that finish with grip, length, complexity and a welcome freshness. Drink through 2021.",91,4.8,24,Michael Schachner,Ventisquero
France,Southwest France,"One of two wines produced as a joint venture between California vintner Paul Hobbs and Cahors producer Bertrand Vigouroux, Crocus is aged 50% in new wood. It is ripe, smooth and powerful, a dense wine with dusty tannins and dark black plum flavors. It is just about ready to drink.",91,0,,Roger Voss,Paul Bertrand
US,California,"From the mighty Hyde in Carneros, this medium-bodied white blossoms with tropical fruit and briny minerality, a forceful combination that gives this wine both power and elegance. Textured in candied Meyer lemon, it finishes crisply and the right kind of sour.",92,14.21,50,Virginie Boone,Miner
Austria,Kremstal,"Ripe Concord pear informs the nose and palate. This is gentle and smooth, elegant and fine-boned—yet there is a juicy, ripe core brightened by citrus freshness that makes this a real tonic of a wine. Lovely and full of charm, with a masterfully light touch.",92,11.05,36,Anne Krebiehl MW,Stift Göttweig
US,Michigan,"Hailing from a single vineyard in Michigan's southern AVA, this is a Cabernet Sauvignon-dominant blend (77%), with Cabernet Franc, Merlot and Petite Verdot making up the difference. This has cooked-down bramble berry aromas on the nose, and also brings to mind twings and stems. The medium-bodied palate shows a bit more character, with juicy black berry and red currant flavors elevated over green peppercorn and medium-grained tannins.",86,9,45,Alexander Peartree,Wyncroft
Germany,Mosel,"Subtle spice and mineral notes accent flavors of pressed apple, lemon and pear in this off-dry Riesling. It's an uncomplicated but refreshing wine marked by sharp lemon-lime acidity and a crisp, clean finish. Drink now.",86,4.16,14,Anna Lee C. Iijima,C.H. Berres
Spain,Catalonia,"Aromas of peach pit are neutral except for some oily notes. This multigrape blend feels plump, oily and propped up by solid acidity. Pithy flavors of grapefruit and melon are slightly bitter on the finish.",86,5.26,17,Michael Schachner,Huguet de Can Feixes
Italy,Piedmont,"Albino Rocca's Barbaresco Ronchi boasts lovely violet and sage aromas sprinkled with coffee and espresso notes. The palate shows creamy red fruit layered with chocolate and spice and firm but refined tannins. This is very elegant but still a bit shy, so best to drink it after 2014.",91,10.51,60,Kerin O’Keefe,Albino Rocca
Israel,Judean Hills,"This is a dark, dense blend of 52% Syrah, 30% Merlot and 18% Cabernet Sauvignon. Aromas of cassis, blackberry and plum lead on the bouquet, with background accents of tree bark and forest floor. The firm structure and gripping tannins are softened by ripe black-fruit flavors that carry through to the lingering finish. Balanced but young, this should develop greater complexity and nuance with time; drink 2016–2020.",91,7,35,Lauren Buzzeo,Barkan
US,California,"This Zin wants two or three years to round off the jagged edges. There's a lot going on, from the supple blackberry, leather and pepper flavors, wildly exotic spices and smooth tannins to an undefinable earthy-mineral taste that must come from the soil. There's some burn from alcohol, as Zins from the Maple Vineyards tend to exhibit.",91,7.94,40,,Bella
US,Washington,"Aged 19 months in American and French oak (68% new), it's lush and appealing with notes of vanilla and other barrel spices accenting herbs and red fruit. The palate is creamy in feel with tart, mouthwatering acids that draw out the flavors for a long finish.",91,7.2,36,Sean P. Sullivan,Fielding Hills
Argentina,Mendoza Province,"Dark berry aromas are smoky and stout, and overall this well-oaked Malbec gives off a sense of seriousness on the nose. In the mouth, there's tension but also balance. Flavors of blackberry and cassis are oaky but expressive. It's spicy, a touch resiny and lasting on the finish. Drink through 2019.",90,4.23,25,Michael Schachner,Trapiche
US,California,"This wine is robust in flavor, appropriately laced with firm tannins and begs for a dry-aged Tbone to pair with. It has a deep color, moderately spicy blackberry aromas, and a firm mouthfeel. Blackberry and subtle blueberry flavors push through on the finish. Best after 2022.",90,5,25,Jim Gordon,Andis
US,California,"An unusually bright-gold color and aromas like vanilla and nutmeg signal a complex style for this unusually textured and nicely viscous wine that is technically light bodied in terms of alcohol. Balanced out by good acidity, it is not overtly fruity but goes for complexity and spiciness that linger on the finish.",90,5.1,19,Jim Gordon,Bodkin
France,Bordeaux,"This wine smells yeasty, a character that follows through on the palate. It is soft and round, conveying ripe red fruits without freshness. It reveals bitter acidity at the end.",83,2,12,Roger Voss,Château Recougne
Chile,Colchagua Valley,"Heavy as dead weight, with a raisiny nose. Only dried out, semisalty plum flavors work the palate.",80,3.74,14,Michael Schachner,Luis Felipe Edwards
France,Burgundy,"A beautiful, pure wine that  combines freshness and intense richness. It seems to float while still giving a huge mouthful of plums, coffee and sweet, juicy tannins. A straight line of pure flavor all the way to the finish.",98,0,,Roger Voss,Domaine des Lambrays
France,Burgundy,"A supremely integrated wine, its richness and beautiful fruit just part of a story that starts with intense aromas and segues on the palate into a balance of tannins, dark red fruits, enveloping acidity and a beautifully orchestrated finale of berries, spice and aching freshness.",97,21.71,95,Roger Voss,Louis Jadot
US,California,"A very good Merlot, representing a huge increase in quality over the 2008, and a return to the charms of the 2007. It's ripe and tasty in fruit, currants and sweet oak, and earns extra points for the fine structure. Ready now.",87,7.51,38,,Materra Cunat Family Vineyards
